"","City","Positive","Negative"
"5921","Brundage",25,16
"5922","Eddy",13,16
"5923","Lums Chapel",0,12
"5924","Pampa",37,1
"5925","Lamar",17,24
"5926","Horseshoe Bay",7,20
"5927","Avery",32,7
"5928","Merkel",8,17
"5929","Sherman",31,14
"5930","Boise",31,7
"5931","Rockland",27,8
"5932","Clarendon",29,8
"5933","Hamilton",25,10
"5934","Olivarez",27,11
"5935","Deport",25,21
"5936","Spur",28,14
"5937","Cedar Hill",48,2
"5938","Study Butte",6,1
"5939","Pine Springs",38,7
"5940","Hankamer",4,0
"5941","Ben Wheeler",20,12
"5942","Trent",33,5
"5943","Purley",33,8
"5944","Stinnett",24,16
"5945","Plata",23,14
"5946","Zita",23,7
"5947","Corrigan",29,7
"5948","Bigfoot",25,9
"5949","Round Top",33,9
"5950","Ella",20,13
"5951","Dexter",23,14
"5952","Petty",8,39
"5953","Normangee",13,23
"5954","Elbert",31,17
"5955","Salt Gap",12,8
"5956","Pasadena",35,1
"5957","Hockley",14,5
"5958","Center City",25,24
"5959","Woodway",24,9
"5960","Brazos Bend",2,1
"5961","Star",38,8
"5962","Danbury",35,6
"5963","Ranger",26,10
"5964","Dinero",22,11
"5965","Vernon",29,6
"5966","Cresson",16,3
"5967","Gentry",34,10
"5968","Romayor",0,0
"5969","Carbon",20,22
"5970","Nopal",18,13
"5971","Sweet Home",50,0
"5972","Mount Enterprise",30,3
"5973","Christine",23,25
"5974","Masterson",18,20
"5975","El Refugio",4,6
"5976","Fort Griffin",32,18
"5977","Rule",21,15
"5978","Bozar",32,10
"5979","Crowley",31,8
"5980","Pyote",2,20
"5981","Hills Prairie",14,6
"5982","La Rosita",22,3
"5983","Gageby",5,16
"5984","Roaring Springs",18,26
"5985","Old Glory",43,5
"5986","Batesville",30,2
"5987","Benavides",25,9
"5988","Oak Ridge",22,19
"5989","Cistern",30,9
"5990","Bunker Hill Village",2,0
"5991","Centerville",25,9
"5992","Kosse",8,2
"5993","Briar",32,9
"5994","Florence Hill",17,23
"5995","Bruni",30,9
"5996","Denver City",3,3
"5997","Bay City",32,10
"5998","Benoit",30,9
"5999","Tankersley",29,15
"6000","Irving",25,16
"6001","Paint Rock",35,10
"6002","Falcon",24,12
"6003","Hoskins",10,10
"6004","Coppell",44,3
"6005","Lucas",16,5
"6006","Spring Hill",34,2
"6007","Arroyo Gardens",4,2
"6008","Meadows Place",43,3
"6009","Marlin",19,15
"6010","Brashear",40,4
"6011","Carlos",18,12
"6012","Stanfield",23,12
"6013","Lefors",6,19
"6014","Maxwell",26,9
"6015","Cameron Park",19,19
"6016","Sterling City",25,12
"6017","El Campo",42,3
"6018","Haskell",22,12
"6019","Silver Valley",28,2
"6020","Groesbeck",14,17
"6021","Irene",31,7
"6022","Pinehurst",37,3
"6023","Zapata",19,10
"6024","Point Comfort",36,7
"6025","Blum",22,11
"6026","Arlington",33,6
"6027","Montgomery",25,7
"6028","Newark",20,8
"6029","West Odessa",27,17
"6030","Nazareth",32,4
"6031","Bellville",34,8
"6032","Exum",27,8
"6033","McNair",35,12
"6034","Addison",25,10
"6035","Abbott",13,12
"6036","Woodsboro",15,8
"6037","Montague",30,10
"6038","Wolfe City",32,7
"6039","Jonesboro",17,11
"6040","Placid",31,7
"6041","Wilcox",27,14
"6042","Texline",6,0
"6043","Aloe",30,10
"6044","Martinsville",20,8
"6045","Whitharral",5,9
"6046","Peden",4,1
"6047","Boydston",31,12
"6048","Brazos Country",7,7
"6049","Mexia",36,8
"6050","Boling",20,15
"6051","Cuevitas",18,8
"6052","Balcones Heights",7,1
"6053","Pharr",5,42
"6054","Fort Worth",44,4
"6055","Milam",25,15
"6056","Morita",36,5
"6057","Balmorhea",28,5
"6058","White Oak",32,13
"6059","Mabelle",17,22
"6060","Rainbow",26,11
"6061","Tamina",36,5
"6062","Floresville",18,20
"6063","Silverton",23,11
"6064","Sparks",28,11
"6065","Magnolia Springs",11,5
"6066","Granbury",36,3
"6067","Sagerton",0,19
"6068","Beasley",29,10
"6069","Goldsmith",44,3
"6070","Fairchilds",18,12
"6071","Nacogdoches",24,8
"6072","Aubrey",27,13
"6073","Wickett",48,1
"6074","Chancellor",33,12
"6075","Kellerville",0,6
"6076","Santa Anna",23,21
"6077","Lakewood Heights",24,14
"6078","Gun Barrel City",15,23
"6079","Stockman",18,11
"6080","Carrizo Hill",2,1
"6081","India",27,15
"6082","Enochs",30,8
"6083","Brookston",39,0
"6084","Bynum",26,9
"6085","Primera",27,6
"6086","Cotulla",18,8
"6087","Brenham",37,4
"6088","Morton Valley",8,0
"6089","Nixon",20,18
"6090","Rosenberg",21,22
"6091","Plaska",0,3
"6092","Vidor",19,7
"6093","Buna",34,7
"6094","Perezville",0,0
"6095","Cooper",30,8
"6096","Brookeland",9,3
"6097","Cherokee",18,8
"6098","Mobile City",35,7
"6099","New Braunfels",41,5
"6100","Talco",23,4
"6101","Pringle",36,2
"6102","Proctor",26,16
"6103","Pomeroy",27,9
"6104","Posey",18,14
"6105","Smiley",33,6
"6106","Medina",28,10
"6107","Claude",24,14
"6108","Alamo Heights",12,17
"6109","Desert",14,30
"6110","Alexander",20,15
"6111","Henrietta",27,7
"6112","Los Alvarez",18,6
"6113","Markham",19,7
"6114","Austwell",3,0
"6115","San Felipe",27,8
"6116","Ratcliff",27,14
"6117","Edge",25,17
"6118","Sunset",40,1
"6119","Forsan",24,11
"6120","Charleston",31,8
"6121","Melody Hills",11,5
"6122","Millers Cove",4,0
"6123","Bremond",27,8
"6124","Prado Verde",0,0
"6125","Thorndale",12,26
"6126","Angleton",21,1
"6127","Falcon Mesa",4,2
"6128","Spring Valley",28,9
"6129","Trinidad",32,8
"6130","Lubbock",25,0
"6131","New Hope",45,4
"6132","Lincoln",14,32
"6133","Mustang Ridge",7,4
"6134","Ferris",47,3
"6135","Lakeport",38,4
"6136","McLendon-Chisholm",3,0
"6137","Saint Jo",20,25
"6138","Dunlay",27,8
"6139","Rosser",48,2
"6140","Millican",31,10
"6141","Albert",24,14
"6142","Dunlap",21,19
"6143","Cochran",31,12
"6144","La Junta",8,29
"6145","Dothan",31,7
"6146","Botines",4,3
"6147","Mathis",26,7
"6148","Bakersfield",33,10
"6149","Bono",26,8
"6150","Pandora",25,12
"6151","Rowden",26,16
"6152","Ivan",26,8
"6153","Hilltop",29,12
"6154","Doole",19,2
"6155","Paige",25,14
"6156","Fruitvale",6,37
"6157","Moss Hill",26,2
"6158","Bassett",15,4
"6159","Galveston",19,15
"6160","Trenton",16,23
"6161","Rosanky",0,8
"6162","Sanctuary",40,7
"6163","Bisbee",28,8
"6164","O'Donnell",28,9
"6165","Lakeside",20,6
"6166","Rancho Alegre",6,1
"6167","Addicks",5,10
"6168","Garfield",20,16
"6169","Eustace",27,8
"6170","Levelland",21,4
"6171","Corpus Christi",24,14
"6172","Duncanville",22,3
"6173","New London",39,11
"6174","Ridge",28,15
"6175","Union",35,14
"6176","Carey",15,4
"6177","Grey Forest",28,11
"6178","Annona",20,5
"6179","North Zulch",8,5
"6180","Paradise",24,18
"6181","Carmine",26,17
"6182","Powell",25,11
"6183","Anna",24,12
"6184","Cross Cut",19,25
"6185","Galena Park",24,17
"6186","Brand",38,3
"6187","Deweyville",12,27
"6188","Placedo",4,4
"6189","Fred",22,17
"6190","Lewisville",44,0
"6191","DeSoto",31,8
"6192","Havana",26,6
"6193","Port Lavaca",22,2
"6194","Saragosa",17,4
"6195","Wimberley",40,3
"6196","Wichita Falls",12,21
"6197","Mabank",33,1
"6198","Ricardo",26,10
"6199","Johnstone",25,11
"6200","Fifth Street",5,41
"6201","McQueeney",46,2
"6202","Fife",23,7
"6203","Moore",24,17
"6204","Armstrong",34,7
"6205","Washington",24,19
"6206","Tinaja",6,12
"6207","Rockport",31,6
"6208","Grand Saline",48,0
"6209","Muncy",7,10
"6210","Sanger",23,19
"6211","Ackerly",13,4
"6212","Watauga",39,6
"6213","Rusk",22,13
"6214","West Lake Hills",20,16
"6215","Anderson",14,27
"6216","Butler",35,13
"6217","Willow Park",27,4
"6218","Bells",30,8
"6219","Aguilares",0,0
"6220","Vinton",28,5
"6221","Shallowater",24,4
"6222","Laird Hill",11,1
"6223","Tool",14,34
"6224","Canyon",29,10
"6225","Fullerville",14,11
"6226","Creedmoor",13,10
"6227","Roundup",25,10
"6228","Hays",9,11
"6229","Jourdanton",19,12
"6230","Duster",15,21
"6231","Wyldwood",21,5
"6232","Coahoma",32,17
"6233","Edgar",17,13
"6234","Bronte",27,11
"6235","Bangs",9,35
"6236","Sunset Colonia",4,0
"6237","Stiles",16,11
"6238","Buffalo Gap",26,10
"6239","San Patricio",18,27
"6240","Stratford",27,14
"6241","Trammels",4,0
"6242","Dawn",36,9
"6243","Desdemona",20,7
"6244","Coady",25,6
"6245","Twichell",30,4
"6246","Howland",19,12
"6247","Thrall",28,13
"6248","Lehman",22,14
"6249","New Boston",45,0
"6250","Telegraph",23,23
"6251","Mineola",20,6
"6252","Lindenau",1,0
"6253","Bernstein",17,20
"6254","Axtell",30,2
"6255","Earle",23,17
"6256","Early",27,16
"6257","West University Place",42,0
"6258","Cumings",12,10
"6259","Kenedy",30,11
"6260","Noelke",9,3
"6261","Corbet",36,7
"6262","Lake Jackson",37,1
"6263","Staples",41,5
"6264","Bertram",26,18
"6265","Vick",31,10
"6266","Concrete",28,7
"6267","Fayetteville",26,5
"6268","McAllen",38,5
"6269","Harker Heights",26,11
"6270","Elgin",26,8
"6271","Conway",17,18
"6272","Little Elm",24,3
"6273","Kaufman",35,8
"6274","Village Mills",38,4
"6275","North San Pedro",6,3
"6276","Rhome",20,15
"6277","Cleveland",32,7
"6278","Campbell",25,10
"6279","Kerrick",35,3
"6280","Pecan Plantation",10,0
"6281","Alto",26,9
"6282","Elm Mott",2,32
"6283","Athens",20,14
"6284","Lipscomb",27,10
"6285","Courtney",35,6
"6286","Burkett",29,12
"6287","Heidelberg",9,0
"6288","Channelview",50,0
"6289","New Chapel Hill",50,0
"6290","Georgetown",28,13
"6291","Rio Grande City",18,3
"6292","Mendota",9,38
"6293","Campbellton",13,30
"6294","Peaster",22,16
"6295","Puente",30,10
"6296","Leming",26,9
"6297","Fairview",28,9
"6298","Garden City",45,4
"6299","Appleby",30,11
"6300","Britton",28,9
"6301","Tatum",31,9
"6302","San Angelo",19,4
"6303","Southmayd",8,8
"6304","Northcrest",34,8
"6305","Sunrise Beach Village",1,0
"6306","Freeport",32,10
"6307","Rendon",19,20
"6308","Angeles",29,7
"6309","Bristol",30,12
"6310","Providence",44,5
"6311","Garrison",12,28
"6312","Peacock",18,12
"6313","Premont",27,4
"6314","Wink",21,14
"6315","Springlake",36,6
"6316","Oak Forest",25,13
"6317","Belton",24,9
"6318","Palo Pinto",8,22
"6319","Portland",24,10
"6320","Randolph",32,4
"6321","Magwalt",0,28
"6322","Sinton",33,12
"6323","Lumberton",24,9
"6324","Lott",15,19
"6325","Lorenzo",31,2
"6326","Tierra Bonita",1,1
"6327","Maverick",23,7
"6328","Matador",25,13
"6329","Throckmorton",10,30
"6330","Happy",48,2
"6331","Blewett",27,8
"6332","Medicine Mound",8,0
"6333","Finlay",20,11
"6334","Odell",24,10
"6335","Leonard",18,27
"6336","Algerita",1,1
"6337","Flint",16,31
"6338","Childress",26,15
"6339","Karnack",1,1
"6340","Alice",22,11
"6341","Highland Haven",45,1
"6342","Alamo",32,7
"6343","Nimrod",17,10
"6344","Hallsville",32,9
"6345","Cisco",27,11
"6346","Hainesville",2,4
"6347","Windemere",19,7
"6348","Arp",20,18
"6349","Art",39,9
"6350","Chilton",26,17
"6351","Fort Hancock",7,39
"6352","Fresno",32,3
"6353","Zapata Ranch",3,0
"6354","Floydada",7,11
"6355","Decatur",28,5
"6356","Talty",37,6
"6357","Wellborn",33,8
"6358","San Marcos",37,7
"6359","Warren",20,24
"6360","Castle Hills",23,6
"6361","Caldwell",28,13
"6362","Colony",23,18
"6363","Garrett",16,13
"6364","Pierce",29,10
"6365","Inez",31,7
"6366","Pine Island",26,4
"6367","Concepcion",23,15
"6368","Echo",20,17
"6369","Colmesneil",20,1
"6370","Mankins",29,9
"6371","Saltillo",16,11
"6372","Redwood",24,20
"6373","Quarry",23,16
"6374","New Waverly",38,7
"6375","Blessing",45,4
"6376","Ben Arnold",31,8
"6377","Perryton",16,19
"6378","Gray",28,12
"6379","Arcadia",30,7
"6380","Sarita",34,7
"6381","Morgan Mill",47,2
"6382","Groom",37,10
"6383","San Perlita",6,0
"6384","Stilson",27,5
"6385","New Territory",41,8
"6386","West Point",27,16
"6387","Juno",25,5
"6388","Oglesby",31,8
"6389","Seymour",27,8
"6390","Wixon Valley",2,0
"6391","Gustine",12,22
"6392","Valentine",36,5
"6393","Archer City",26,12
"6394","Clear Lake City",5,42
"6395","Haltom City",29,13
"6396","Cameron",20,13
"6397","Keltys",1,0
"6398","Gomez",21,17
"6399","Best",36,10
"6400","South Point",33,6
"6401","Cut",17,27
"6402","Houmont Park",0,0
"6403","Hochheim",2,0
"6404","Scotland",24,9
"6405","Fairfield",34,5
"6406","Pattison",26,17
"6407","Metcalf Gap",1,2
"6408","Truscott",23,8
"6409","Brushy Creek",31,5
"6410","San Saba",23,15
"6411","Swearingen",32,4
"6412","Oakhurst",28,7
"6413","Ames",29,9
"6414","Point Venture",31,7
"6415","Boerne",17,8
"6416","La Feria",25,8
"6417","Huxley",34,7
"6418","Queen City",28,10
"6419","Copeville",1,0
"6420","Jean",26,6
"6421","Las Palmas",30,11
"6422","Golden",42,5
"6423","Eastgate",24,3
"6424","Santa Elena",38,5
"6425","Pleasanton",35,5
"6426","Frankston",15,32
"6427","Melrose",25,8
"6428","Pinto",23,14
"6429","Weatherford",18,3
"6430","Lolita",19,23
"6431","Lariat",28,11
"6432","Oakwood",34,11
"6433","Hudson",35,9
"6434","Pineland",21,15
"6435","Martins Mill",3,1
"6436","Melissa",19,9
"6437","DISH",31,12
"6438","Hillsboro",25,8
"6439","Coburn",28,10
"6440","Circleville",36,7
"6441","Tradewinds",25,2
"6442","Lovelady",21,10
"6443","Simms",26,11
"6444","Longworth",25,14
"6445","Mount Vernon",29,13
"6446","Kaffir",29,17
"6447","Waxahachie",14,15
"6448","Port Mansfield",29,15
"6449","Hunt",20,20
"6450","Cedar Creek",19,6
"6451","Plantersville",8,5
"6452","Mount Houston",41,6
"6453","Falcon Village",17,9
"6454","Earth",21,16
"6455","Pawnee",25,10
"6456","Danevang",1,0
"6457","Mission",25,8
"6458","Dumas",28,5
"6459","Vancourt",12,13
"6460","Texarkana",18,14
"6461","Apple Springs",18,24
"6462","Bammel",33,7
"6463","Keller",25,5
"6464","Oak Valley",33,3
"6465","Orient",17,18
"6466","Loraine",32,10
"6467","Terlingua",28,15
"6468","Castor",23,10
"6469","Shelby",31,9
"6470","Dundee",32,9
"6471","Munday",13,16
"6472","Ironton",26,11
"6473","Davilla",18,14
"6474","Alice Acres",4,1
"6475","Tom Bean",25,10
"6476","Leo",22,20
"6477","Realitos",1,7
"6478","Heckville",1,1
"6479","Daingerfield",11,21
"6480","Cherry Spring",11,1
"6481","Iago",27,11
"6482","Avinger",26,7
"6483","Santa Maria",26,5
"6484","Atlanta",38,4
"6485","Roma Creek",0,0
"6486","Easton",20,11
"6487","Rio Bravo",43,4
"6488","Lometa",3,1
"6489","Uvalde",22,14
"6490","Higgins",25,13
"6491","Centralia",28,9
"6492","Redbank",29,13
"6493","Valley View",22,10
"6494","Estelline",3,1
"6495","Mangum",24,13
"6496","Abram",25,5
"6497","Dilley",21,6
"6498","Parker",14,24
"6499","McNeil",18,18
"6500","Lampasas",28,6
"6501","Hereford",16,19
"6502","Hartley",25,4
"6503","Rosita",20,13
"6504","Fowlkes",29,12
"6505","Fulshear",28,7
"6506","Prairie Hill",44,2
"6507","Lago",26,18
"6508","Burlington",30,7
"6509","Orange",25,14
"6510","Bryson",38,5
"6511","Rice",22,15
"6512","Liberty Hill",47,3
"6513","Lakewood Village",16,6
"6514","Hughes Springs",30,9
"6515","Crowell",26,10
"6516","Pine Forest",19,16
"6517","Splendora",21,17
"6518","Jericho",23,8
"6519","Union Valley",25,7
"6520","Lacy-Lakeview",2,47
"6521","Red Gate",26,12
"6522","Heaton",24,9
"6523","Sunnyvale",21,10
"6524","English",27,12
"6525","Hill Country Village",7,1
"6526","Winter Haven",5,45
"6527","Webb",29,6
"6528","Spearman",20,17
"6529","Dean",22,16
"6530","Middle Water",28,9
"6531","Friendswood",43,4
"6532","Haynesville",23,1
"6533","Fort Davis",30,12
"6534","Camp Verde",27,4
"6535","Azle",36,7
"6536","Elmendorf",36,5
"6537","Russellville",21,10
"6538","Villa Pancho",35,0
"6539","Kress",22,18
"6540","Mullin",32,5
"6541","Thornton",26,16
"6542","North Houston",45,4
"6543","Ovalo",5,1
"6544","Edith",2,1
"6545","La Vernia",27,4
"6546","Haslet",32,1
"6547","South Bend",35,6
"6548","Satin",35,5
"6549","Doyle",29,8
"6550","Royalty",44,3
"6551","Tokio",27,9
"6552","Indian Lake",18,16
"6553","Ogg",24,15
"6554","Cantu Addition",1,0
"6555","Ezzell",23,13
"6556","Tilden",29,13
"6557","Vanderpool",30,6
"6558","Chispa",24,5
"6559","Raisin",15,18
"6560","Trophy Club",46,3
"6561","Muenster",36,7
"6562","Taylor",26,14
"6563","Ropesville",4,1
"6564","Westbrook",19,13
"6565","Blackwell",20,26
"6566","Karnes City",17,8
"6567","Fredonia",18,20
"6568","Crosbyton",14,22
"6569","Lassater",0,1
"6570","El Toro",20,13
"6571","O'Brien",22,26
"6572","Fort Gates",46,4
"6573","Spade",21,17
"6574","Bovina",12,34
"6575","Cornudas",0,0
"6576","Ovilla",17,3
"6577","Roma",18,15
"6578","Waskom",15,14
"6579","Van Horn",26,6
"6580","The Colony",34,11
"6581","Runge",26,10
"6582","Lord",31,12
"6583","Damon",38,8
"6584","Richland Springs",11,1
"6585","Boquillas Crossing",0,1
"6586","El Sauz",7,6
"6587","Underwood",28,10
"6588","Tolar",22,8
"6589","Carrollton",27,16
"6590","Gail",21,21
"6591","Muldoon",22,11
"6592","Smithville",20,9
"6593","Lamkin",25,15
"6594","Valera",28,13
"6595","Sonterra",12,0
"6596","Natalia",23,16
"6597","Hilshire Village",1,0
"6598","Lamesa",28,6
"6599","Ramirez",20,12
"6600","Briarcliff",28,8
"6601","Lawson",28,13
"6602","Stowell",25,12
"6603","Yoakum",14,29
"6604","La Grulla",4,0
"6605","View",21,20
"6606","Jonestown",15,22
"6607","Slocum",28,13
"6608","Romney",46,4
"6609","Bullard",20,15
"6610","Nursery",40,9
"6611","Follett",34,9
"6612","Webberville",11,19
"6613","Morton",21,8
"6614","McKinney",24,5
"6615","Schulenburg",12,24
"6616","McCamey",44,1
"6617","Bowie",20,17
"6618","Cee Vee",19,18
"6619","Finney",13,22
"6620","Pipe Creek",16,16
"6621","Round Mountain",20,12
"6622","Covington",5,38
"6623","Eli",24,13
"6624","Red Springs",29,6
"6625","Laketon",1,48
"6626","Garwood",24,10
"6627","Castolon",1,0
"6628","Indian Springs",32,4
"6629","Kirby",22,19
"6630","Crystal City",48,1
"6631","Forney",32,5
"6632","Anson",24,15
"6633","New Summerfield",50,0
"6634","Whitney",31,7
"6635","Iredell",21,23
"6636","Woodcreek",40,1
"6637","Central Gardens",36,7
"6638","Rogers",8,3
"6639","Kyle",34,10
"6640","McDade",27,16
"6641","Eureka",24,15
"6642","Southside Place",30,7
"6643","Gordon",17,16
"6644","Normandy",27,10
"6645","Kemp",23,21
"6646","Webster",20,7
"6647","Shavano Park",3,2
"6648","Pittsburg",36,2
"6649","Del Mar Heights",4,10
"6650","Argyle",28,11
"6651","Terrell Hills",23,2
"6652","Redford",18,29
"6653","Bruceville-Eddy",7,2
"6654","Deer Park",29,15
"6655","Randado",0,14
"6656","Pecos",13,28
"6657","Freer",30,15
"6658","Snyder",28,11
"6659","Nolanville",9,7
"6660","Muleshoe",24,19
"6661","Petersburg",42,2
"6662","Kamey",21,2
"6663","Devine",11,4
"6664","Laredo",34,5
"6665","Shepherd",34,10
"6666","Monkstown",24,4
"6667","Sour Lake",12,35
"6668","Key",34,10
"6669","Euless",30,7
"6670","Commerce",37,5
"6671","Whiteland",27,14
"6672","Smithland",12,6
"6673","Zavalla",25,10
"6674","Southlake",38,1
"6675","Westfield",27,4
"6676","Harleton",6,0
"6677","Farrar",24,14
"6678","Alanreed",3,8
"6679","Little River-Academy",22,2
"6680","Southton",16,0
"6681","Guerra",18,14
"6682","Los Indios",11,7
"6683","Collinsville",34,6
"6684","Coyote Acres",2,0
"6685","Copper Canyon",34,10
"6686","Huntington",26,11
"6687","Owens",38,6
"6688","Longview",28,5
"6689","Sanford",9,32
"6690","Star Harbor",33,10
"6691","Blanco",43,4
"6692","Herty",6,13
"6693","Von Ormy",3,6
"6694","Combine",31,8
"6695","Edmonson",23,13
"6696","San Carlos",41,3
"6697","Minerva",26,6
"6698","Rolling Meadows",30,2
"6699","Oak Ridge North",16,14
"6700","Palmer",18,17
"6701","Verhalen",9,2
"6702","Wharton",27,14
"6703","Bagwell",17,5
"6704","Olton",30,14
"6705","China Grove",21,20
"6706","Post",31,8
"6707","Surfside Beach",23,6
"6708","Chireno",5,11
"6709","Slidell",40,4
"6710","Blue Mound",27,11
"6711","Choate",25,18
"6712","Miles",30,9
"6713","Loyal Valley",50,0
"6714","Beverly",29,8
"6715","Flats",22,20
"6716","Millersview",10,6
"6717","Serenada",5,2
"6718","Concord",31,10
"6719","Port Isabel",50,0
"6720","Rucker",21,13
"6721","Rowena",16,8
"6722","Bandera",36,10
"6723","Lake Dunlap",7,0
"6724","Hurst",22,6
"6725","Forreston",19,4
"6726","Kingsville",29,7
"6727","Waring",28,11
"6728","Clint",18,13
"6729","Post Oak Bend City",0,0
"6730","Gunter",21,14
"6731","Patroon",20,10
"6732","Eagle Flat",13,6
"6733","Cline",21,10
"6734","Crawford",22,17
"6735","Naples",27,14
"6736","Fannin",23,12
"6737","Broaddus",31,7
"6738","Royse City",46,1
"6739","Ingram",29,10
"6740","Four Way",29,12
"6741","Murphy",25,11
"6742","Tennessee Colony",3,2
"6743","Comstock",25,18
"6744","Hall",27,7
"6745","Oklaunion",2,0
"6746","Hardin",16,8
"6747","Lipan",34,4
"6748","Ingleside",29,1
"6749","Geronimo",24,6
"6750","Allison",32,13
"6751","Hatchel",26,1
"6752","Doucette",21,14
"6753","Juliff",6,0
"6754","Elm Creek",23,8
"6755","Goldsboro",48,0
"6756","Celeste",16,28
"6757","Pflugerville",45,1
"6758","Merit",33,10
"6759","Weston",37,4
"6760","Glenwood",31,4
"6761","West Tawakoni",1,17
"6762","Farmers Branch",15,10
"6763","Halfway",20,16
"6764","Barry",23,17
"6765","Adrian",20,14
"6766","Timpson",33,3
"6767","Spring Branch",29,6
"6768","Beach City",26,20
"6769","Kent",25,15
"6770","Mountain City",28,4
"6771","La Salle",37,8
"6772","Aspermont",21,21
"6773","Edroy",0,1
"6774","Bellmead",13,19
"6775","Hull",31,9
"6776","Del Rio",26,4
"6777","Simonton",32,4
"6778","Aquilla",25,6
"6779","El Lago",20,9
"6780","Florey",29,17
"6781","Jollyville",5,6
"6782","Manvel",18,12
"6783","Lost Creek",18,27
"6784","Alleyton",1,17
"6785","Paducah",20,21
"6786","Ector",24,15
"6787","Lexington",28,12
"6788","Ellinger",21,11
"6789","Sam Rayburn",21,11
"6790","Coffee City",8,38
"6791","Northfield",27,7
"6792","Midway",4,46
"6793","Villa",33,11
"6794","Mauriceville",4,2
"6795","Union Grove",26,3
"6796","Boys Ranch",23,13
"6797","Allen",25,11
"6798","Cross Timber",31,11
"6799","San Juan",33,8
"6800","Piney Point Village",2,1
"6801","Long Mott",36,8
"6802","Highland Village",36,5
"6803","McFaddin",34,10
"6804","Patricia",32,6
"6805","Seminole",9,33
"6806","Vidaurri",25,13
"6807","Clear Springs",30,0
"6808","Tuscola",30,6
"6809","Hempstead",26,10
"6810","Blooming Grove",31,4
"6811","Jonah",8,30
"6812","Seven Points",5,31
"6813","Tarzan",20,13
"6814","Tomball",41,3
"6815","Whitesboro",27,2
"6816","Ballinger",29,6
"6817","McLean",27,10
"6818","Boden",34,8
"6819","Gluck",40,1
"6820","Bonham",8,0
"6821","Menard",32,7
"6822","Lodi",30,4
"6823","Democrat",23,19
"6824","Huntoon",26,8
"6825","Overton",34,10
"6826","Sugar Land",11,39
"6827","Big Sandy",9,37
"6828","Comal",31,6
"6829","Candelaria",27,5
"6830","Bonney",22,16
"6831","Ramireno",0,12
"6832","Abernathy",26,11
"6833","Moulton",34,10
"6834","Saint Francis",39,9
"6835","Norias",1,1
"6836","Leon Valley",11,24
"6837","Hubbard",20,9
"6838","Arcola",44,1
"6839","Bluff Dale",2,3
"6840","Riverside",22,2
"6841","Sansom Park",28,1
"6842","Klondike",27,10
"6843","Arno",26,4
"6844","Winona",26,5
"6845","San Elizario",31,4
"6846","Leary",25,13
"6847","Lawn",38,8
"6848","Banquete",35,1
"6849","Port Arthur",11,35
"6850","Newsome",26,8
"6851","Dominion",28,10
"6852","Byers",27,7
"6853","Yantis",41,2
"6854","Wild Peach Village",1,0
"6855","McLeod",20,10
"6856","Goodrich",32,10
"6857","Marshall",22,21
"6858","Reagan",35,8
"6859","Diboll",3,19
"6860","Dripping Springs",47,3
"6861","Meadowlakes",0,0
"6862","Kinwood",1,0
"6863","Ravenna",29,9
"6864","San Leanna",39,2
"6865","Millett",29,11
"6866","Texon",1,0
"6867","Coughran",2,1
"6868","Peters",23,10
"6869","Roane",5,1
"6870","Chandler",20,7
"6871","Rios",24,17
"6872","Oak Hill",27,11
"6873","Toco",16,17
"6874","Mingus",35,7
"6875","Amarillo",28,7
"6876","Witco",1,0
"6877","Plano",1,49
"6878","Tuleta",3,1
"6879","Silver",22,15
"6880","Mesquite",37,2
"6881","Falls City",11,34
"6882","Leroy",34,10
"6883","Lorena",27,10
"6884","Holliday",26,14
"6885","Maypearl",36,2
"6886","Nesbitt",27,11
"6887","Millsap",18,13
"6888","Port Aransas",31,10
"6889","Quanah",45,2
"6890","Canyon Valley",23,9
"6891","Burris",20,18
"6892","Valley Mills",19,22
"6893","Reno",26,15
"6894","Carlton",25,7
"6895","Richland",24,15
"6896","Bloomburg",9,7
"6897","Lesley",28,11
"6898","Winnsboro",20,12
"6899","Graford",16,1
"6900","Santa Rosa",25,19
"6901","Thompsonville",9,30
"6902","Megargel",33,4
"6903","Royston",34,7
"6904","Retta",28,12
"6905","Santa Clara",23,10
"6906","Prosper",37,5
"6907","Ransom Canyon",0,3
"6908","Log Cabin",23,7
"6909","Hideaway",27,18
"6910","Margaret",19,25
"6911","Marysville",43,3
"6912","Newcastle",27,11
"6913","Gause",19,15
"6914","Crane",24,10
"6915","Sulphur Bluff",11,4
"6916","Hitchcock",13,22
"6917","Saratoga",29,7
"6918","Wellman",20,19
"6919","Plainview",30,11
"6920","Double Bayou",2,18
"6921","Sandia",19,14
"6922","Elmo",16,27
"6923","Belmont",29,10
"6924","Augustus",29,14
"6925","Troy",29,7
"6926","London",25,15
"6927","Corral City",29,11
"6928","Sharp",22,16
"6929","Laguna Park",45,0
"6930","El Cenizo",15,7
"6931","Perry",21,16
"6932","Arcade",39,6
"6933","West",25,12
"6934","Colorado City",29,7
"6935","Jolly",40,9
"6936","Mart",29,15
"6937","Alfred",25,9
"6938","Baytown",31,10
"6939","Hearne",34,13
"6940","Lake Tanglewood",2,1
"6941","Rollingwood",7,10
"6942","Chillicothe",27,7
"6943","Douglass",17,22
"6944","Ruidosa",1,0
"6945","Pledger",41,6
"6946","Zephyr",22,10
"6947","Woodrow",30,8
"6948","Lissie",22,12
"6949","Waka",11,27
"6950","North Richland Hills",28,2
"6951","Eagle Pass",24,9
