"","City","Positive","Negative"
"252","Liberty",42,6
"253","Normandy Park",28,4
"254","Parkwood",29,9
"255","Jamestown",34,7
"256","Forks",21,15
"257","Wallula",4,0
"258","Nighthawk",30,5
"259","SeaTac",24,10
"260","Royal City",31,7
"261","Steilacoom",42,3
"262","Northport",24,11
"263","Eldon",25,19
"264","Ridgefield",34,7
"265","Manchester",18,15
"266","Salmon Creek",31,2
"267","Vantage",37,4
"268","Creston",10,17
"269","Soap Lake",15,10
"270","Silver Firs",7,0
"271","Plaza",28,12
"272","Machias",43,5
"273","Neah Bay",36,13
"274","Malo",3,2
"275","Clyde Hill",3,1
"276","Marlin",27,12
"277","North Yelm",1,1
"278","Grand Coulee",44,5
"279","Outlook",30,11
"280","Clinton",32,18
"281","Evans",17,18
"282","Browns Point",27,14
"283","Kennewick",19,4
"284","North Marysville",5,11
"285","Beaver Valley",18,25
"286","Ahtanum",8,0
"287","Carbonado",14,20
"288","Hyak",15,6
"289","Arlington Heights",33,3
"290","North Sultan",49,0
"291","Pullman",30,14
"292","Wymer",30,11
"293","Adelaide",32,8
"294","Peaceful Valley",36,8
"295","West Richland",15,6
"296","Fife Heights",0,0
"297","Manson",22,20
"298","Sprague",7,5
"299","Cosmopolis",21,14
"300","Redondo",29,7
"301","Waller",25,12
"302","Addy",21,15
"303","Matlock",32,8
"304","Longbranch",23,17
"305","North Bonneville",3,6
"306","Pomeroy",24,5
"307","Colville",23,15
"308","Palmer",20,11
"309","Skyway",24,12
"310","Medina",23,19
"311","Algona",43,3
"312","Nine Mile Falls",0,2
"313","Black Diamond",5,44
"314","Gold Bar",39,6
"315","Mesa",24,10
"316","La Conner",28,14
"317","Sheridan Beach",11,4
"318","Emden",25,12
"319","Markham",31,7
"320","Eltopia",2,1
"321","Stevenson",26,7
"322","Greenwater",20,11
"323","Copalis Beach",1,1
"324","Roosevelt",23,11
"325","La Crosse",28,10
"326","Summit",30,9
"327","Ohop",22,13
"328","Malden",35,4
"329","Beverly",21,14
"330","Prosser",18,9
"331","Lake Roesiger",1,0
"332","Fern Prairie",0,0
"333","Maple Valley",17,30
"334","Gifford",15,30
"335","Auburn",29,10
"336","Burton",31,10
"337","Kewa",33,3
"338","Carrolls",24,13
"339","Bayne",24,19
"340","Purdy",28,4
"341","Kapowsin",31,0
"342","Ketron",20,15
"343","Connell",28,7
"344","Lincoln",28,12
"345","Clear Lake",24,21
"346","Kittitas",25,17
"347","Bainbridge Island",28,4
"348","Danville",24,10
"349","Hazelwood",29,8
